"FLUENCIA","RES_TRA","RELACION","ALARGA","PE_MET"
462,599,1.3,16.4,0.949
454,586,1.29,15.5,0.946
469,597,1.27,15.6,0.954
459,586,1.28,16.9,0.947
470,596,1.27,15.2,0.943
470,595,1.27,16.4,0.951
460,588,1.28,17.5,0.95
489,612,1.25,17.7,0.949
475,595,1.25,17.3,0.942
466,593,1.27,16.9,0.949
468,587,1.25,16.6,0.943
459,588,1.28,16.8,0.946
478,610,1.28,16.7,0.946
446,580,1.3,16.8,0.953
462,582,1.26,16.4,0.947
446,579,1.3,16.5,0.945
473,610,1.29,16.6,0.948
472,608,1.29,17,0.942
491,624,1.27,15.6,2.122
309,430,0,32.3,0
310,432,0,32.8,0
323,459,0,29.7,0
354,510,0,29.2,0
325,461,0,29.3,0
330,452,0,29,0
321,452,0,29.3,0
323,469,0,30.3,0
314,481,0,29.9,0
326,488,0,30.3,0
317,489,0,29.2,0
483,607,1.26,15.8,0.947
473,598,1.26,15.8,0.95
441,563,1.28,15.2,0.948
454,586,1.29,15.5,0.946
450,582,1.29,16.9,0.942
460,588,1.28,17.5,0.95
489,612,1.25,17.7,0.949
475,595,1.25,17.3,0.942
466,593,1.27,16.9,0.949
468,587,1.25,16.6,0.943
446,579,1.3,16.5,0.945
473,610,1.29,16.6,0.948
441,563,1.28,15.2,0.948
489,612,1.25,17.7,0.949
475,595,1.25,17.3,0.942
462,582,1.26,16.4,0.947
470,592,1.26,15.7,0.945
459,588,1.28,16.8,0.946
478,610,1.28,16.7,0.946
510,658,1.29,14.7,2.142
464,685,1.48,14.8,1.494
385,508,0,24.9,0
377,510,0,25.7,0
382,512,0,26.2,0
373,505,0,26.2,0
377,521,0,28.1,0
332,466,0,28.9,0
376,511,0,28.2,0
365,506,0,27.8,0
356,505,0,28,0
363,508,0,27.5,0
367,510,0,27.8,0
322,474,0,28,0
463,589,1.27,16.7,0.962
455,575,1.26,15.8,0.96
467,589,1.26,17.5,0.957
465,585,1.26,17.3,0.965
459,577,1.26,16.4,0.96
466,590,1.27,17.5,0.96
463,589,1.27,16.7,0.962
461,595,1.29,15.2,0.95
487,612,1.26,16,0.948
445,583,1.31,16,0.949
450,582,1.29,16.9,0.942
459,588,1.28,16.8,0.946
469,595,1.27,16.3,0.949
460,586,1.27,15.4,0.951
465,593,1.28,16.1,0.948
445,582,1.31,15.5,0.947
464,685,1.48,14.8,1.494
460,688,1.5,15.5,1.496
385,508,0,24.9,0
382,512,0,26.2,0
373,505,0,26.2,0
377,521,0,28.1,0
332,466,0,28.9,0
376,511,0,28.2,0
356,505,0,28,0
323,469,0,30.3,0
322,474,0,28,0
346,493,0,28,0
342,485,0,26.5,0
337,497,0,28.9,0
342,496,0,28.7,0
337,481,0,29.1,0
446,568,1.27,17.6,0.958
466,590,1.27,17.5,0.96
463,589,1.27,16.7,0.962
457,579,1.27,15.3,0.951
464,590,1.27,15.8,0.948
460,586,1.27,15.4,0.951
487,614,1.26,16.2,0.951
467,592,1.27,16.1,0.947
459,582,1.27,16.7,0.95
453,592,1.31,16.8,0.947
471,596,1.27,16.4,0.947
457,585,1.28,16,0.946
452,585,1.29,17.1,0.949
474,592,1.25,16.4,0.943
479,604,1.26,15.4,0.952
474,602,1.27,15.6,0.95
460,589,1.28,16.6,0.951
464,590,1.27,15.8,0.948
460,586,1.27,15.4,0.951
467,592,1.27,16.1,0.947
452,585,1.29,17.1,0.949
477,601,1.26,15.6,0.952
448,685,1.53,14.9,1.489
467,685,1.47,14.6,1.495
482,687,1.43,16.1,1.496
329,465,0,27.4,0
322,474,0,28,0
346,493,0,28,0
342,485,0,26.5,0
337,497,0,28.9,0
342,496,0,28.7,0
337,481,0,29.1,0
455,575,1.26,15.8,0.96
465,585,1.26,17.3,0.965
459,577,1.26,16.4,0.96
449,567,1.26,18,1.49
470,588,1.25,16.3,2.131
487,614,1.26,16.2,0.951
460,589,1.28,16.6,0.951
